Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Miss Catherine Zeta JONES ,Actor.  For services to the Film Industry and to Charity.,London
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Lady Barbara JUDGE ,"Chair, UK Atomic Energy Authority.  For services to the Nuclear and Financial Services Industries.",London
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Raymond Andrew KITSON ,"Senior Assistant Director, Public Prosecution Service for Northern Ireland.",Down
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Paul LANGMAID ,"Chief Dental Officer for Wales, Department of Health and Social Services, Welsh Assembly Government",South Glamorgan
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Robert LASLETT ,"Director, Private Pensions and Chief Economist, Department for Work and Pensions.",London
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Prof David Seymour LATCHMAN ,"Master of Birkbeck College, University of London.  For services to Higher Education.",London
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Prudence Margaret LEITH OBE,"Lately Chair, School Food Trust.  For services to the Catering Industry.",Gloucestershire
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Prof Noel LLOYD ,"Vice-Chancellor, Aberystwyth University.  For services to Higher Education in Wales.",Dyfed
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Michael LONGLEY ,Poet.  For services to Literature.,Belfast
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Prof Linda Maitland LUXON ,"Professor of Audiological Medicine, University College London Hospitals NHS Foundation Trust.  For services to Medicine.",London
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Prof David Whyte MACDONALD ,"Professor of Wildlife Conservation, University of Oxford.  For services to Natural Sciences.",Oxfordshire
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Karl Joseph MACKIE ,"Chief Executive and Mediator, Centre for Effective Dispute Resolution.  For services to Mediation.",London
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Prof Barry MCCORMICK ,"Chief Economist and Chief Analyst, Department of Health.",London
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Robin John Christian MILLAR ,Record Producer.  For services to the Music Industry.,London
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Marlene Craigie MORLEY OBE,"Head of the Defence Equipment and Support Collocation Team, Ministry of Defence.",Somerset
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Prof Alan Shaw MURIE ,"Emeritus Professor of Urban and Regional Studies, University of Birmingham.  For services to the Housing Sector.",West Midlands
Birthday,2010,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Peter Edward MURRAY OBE,"Founder and Executive Director, Yorkshire Sculpture Park.  For services to the Arts.",West Yorkshire
