New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Trevor HICKS ,"President, Hillsborough Family Support Group.  For services to Bereaved Hillsborough Families.",North Yorkshire
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Brent Shawzin HOBERMAN ,For services to Entrepreneurship.,London
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Peter HOLBROOK ,For services to Social Enterprise.,London
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Jason Bruno Acker HOLT ,"Chief Executive, Holts Group and Founder, Holts Academy.  For services to the Jewellery Sector and Apprenticeships.",London
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Robert Eric HOUGH ,"Chair, Liverpool City Region Local Enterprise Partnership.  For services to Business in the North West.",Greater Manchester
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Rt Hon (John) Michael JACK ,"Chairman, Office of Tax Simplification. For services to Tax Policy.",Devon
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Frederick Frank JARVIS ,For parliamentary and political services.,London
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mr Richard JONES ,Opera and Theatre Director.  For services to Music.,London
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Professor Heather Evelyn JOSHI OBE FBA,"Emeritus Professor, Centre for Longitudinal Studies.  For services to Longitudinal and Women's Studies.",London
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Judith Pamela KELLY OBE,"Artistic Director, Southbank Centre.  For services to the Arts.",London
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Councillor Erica KEMP ,Lord Mayor of Liverpool.  For public and political service.,Merseyside
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Miss Kate LAMPARD DL,"Independent Overseer, Department of Health and NHS Investigation into Jimmy Savile. For services to the National Health Service and to the community in Kent.",Kent
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Dr Ruth Jane LEA ,For services to the Financial and Economic Sectors.,London
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Ms Diane Elizabeth LEES ,"Director General, Imperial War Museums.  For services to Museums.",London
New Year ,2015,Commanders of the Order of the British Empire,CBE,Commander of the Order of the British Empire,Mrs Patricia LEWSLEY-MOONEY ,Commissioner for Children and Young People.  For services to Children's Rights in Northern Ireland.,Belfast
