,,Birthday Honours List 2011,,,,,
New Year,List,Order,Level,Award,Name,Citation,County
Birthday,2011,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Peter James AINSCOUGH ,For public service.,Berkshire
Birthday,2011,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Dr Nathaniel Warren ALCOCK ,For voluntary service to Vernacular Architecture.,Warwickshire
Birthday,2011,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr John Uzoma Ekwugha AMAECHI ,For services to Sport and to the Voluntary Sector.,Cheshire
Birthday,2011,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Dr Jennifer AMERY ,"Chief Professional Officer, Human Development (Health and Education), Department for International Development.",Hertfordshire
Birthday,2011,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Paul ANDERSON ,For services to Special Olympics Great Britain.,East Sussex
Birthday,2011,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Ms Modupe Debbie ARIYO ,"Founder and Executive Director, Africans Unite Against Child Abuse.  For services to Children and Families.",London
Birthday,2011,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mrs Jean ASHTON ,"Area Business Manager, London, Crown Prosecution Service.",West Yorkshire
Birthday,2011,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Ms Jane ASHWORTH ,"Chief Executive, StreetGames.  For services to Community Sport.",London
Birthday,2011,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Ms Linda AUSTIN ,"Lately Headteacher, Swanlea School, London Borough of Tower Hamlets. For services to Education.",London
Birthday,2011,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Professor Jonathan Geoffrey AYRES ,"Professor of Respiratory and Environmental Medicine, University of Birmingham.  For services to Science.",Oxfordshire
Birthday,2011,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Professor Gillian Wright Macbeth BAIRD ,"Consultant Paediatrician, Guy’s and St Thomas’ NHS Foundation Trust, London. For services to Medicine.",Surrey
Birthday,2011,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mrs Caroline BANNERMAN ,"Lately Principal and Chief Executive, Bolton College.  For services to Further Education.",Cheshire
Birthday,2011,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Michael BAPTIST ,"Managing Director, Communication and Integrated Systems, Ultra Electronics.  For services to the Defence Industry.",Buckinghamshire
Birthday,2011,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mrs Rosemary Susan BARNES ,"Lately Chief Executive Officer, Cystic Fibrosis Trust.  For services to Healthcare.",London
Birthday,2011,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Gerard Francis Claude BASSET ,Sommelier.  For services to the Hospitality Industry.,Hampshire
Birthday,2011,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Dr Peter BATCHELOR ,"Head of Electronics and Photonics, Department for Business, Innovation and Skills.",Essex
Birthday,2011,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr David BATESON ,"Headteacher, Ash Field School and Assistive Technology Assessment Centre, Leicester. For services to Special Educational Needs.",Leicestershire
Birthday,2011,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mr Geoff Anthony BAXTER ,"Founder, Reflex Charity.  For services to Youth Justice.",Greater Manchester
Birthday,2011,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Mrs Geraldine Marion BERG ,For public service.,Kent
Birthday,2011,Officers of the Order of the British Empire,OBE,Officer of the Order of the British Empire,Dr Kim BEVAN ,For services to Disabled Children and their Families.,Mid Glamorgan
